UF,POPULACAO,OBITOS,ANO
RONDÔNIA,,4606,1996
ACRE,,2263,1996
AMAZONAS,,8009,1996
RORAIMA,,1029,1996
PARÁ,,17165,1996
AMAPÁ,,1593,1996
TOCANTINS,,3728,1996
MARANHÃO,,12031,1996
PIAUÍ,,6785,1996
CEARÁ ,,29370,1996
RIO GRANDE DO NORTE,,12299,1996
PARAÍBA,,17740,1996
PERNAMBUCO,,48420,1996
ALAGOAS,,13813,1996
SERGIPE,,8942,1996
BAHIA,,54624,1996
MINAS GERAIS,,97498,1996
ESPÍRITO SANTO,,16748,1996
RIO DE JANEIRO,,118111,1996
SÃO PAULO,,235409,1996
PARANÁ,,53994,1996
SANTA CATARINA,,67596,1996
RIO GRANDE DO SUL,,27762,1996
MATO GROSSO DO SUL,,11152,1996
MATO GROSSO,,8399,1996
GOIÁS,,21573,1996
DISTRITO FEDERAL,,12514,1996
RONDÔNIA,1255522,4834,1997
ACRE,500185,2272,1997
AMAZONAS,2460602,8285,1997
RORAIMA,254499,926,1997
PARÁ,5650681,18467,1997
AMAPÁ,401916,1657,1997
TOCANTINS,1080753,3733,1997
MARANHÃO,5295452,13462,1997
PIAUÍ,2695876,7743,1997
CEARÁ ,6920292,31160,1997
RIO GRANDE DO NORTE,2594340,12040,1997
PARAÍBA,3331673,17394,1997
PERNAMBUCO,7466773,49532,1997
ALAGOAS,2663071,14279,1997
SERGIPE,1657164,8444,1997
BAHIA,12709744,52558,1997
MINAS GERAIS,16904977,97916,1997
ESPÍRITO SANTO,2853098,15851,1997
RIO DE JANEIRO,13555657,113329,1997
SÃO PAULO,34752225,232961,1997
PARANÁ,9142215,53473,1997
SANTA CATARINA,4958339,27044,1997
RIO GRANDE DO SUL,9762110,64312,1997
MATO GROSSO DO SUL,1964603,11056,1997
MATO GROSSO,2287846,9166,1997
GOIÁS,4639785,23217,1997
DISTRITO FEDERAL,1877015,8405,1997
RONDÔNIA,1276173,5497,1998
ACRE,514050,2391,1998
AMAZONAS,2520684,8745,1998
RORAIMA,260705,1095,1998
PARÁ,5768476,20183,1998
AMAPÁ,420834,1536,1998
TOCANTINS,1107803,4104,1998
MARANHÃO,5356853,15228,1998
PIAUÍ,2714999,8378,1998
CEARÁ ,7013376,31762,1998
RIO GRANDE DO NORTE,2624397,12532,1998
PARAÍBA,3353624,17148,1998
PERNAMBUCO,7523755,51963,1998
ALAGOAS,2688117,16539,1998
SERGIPE,1684953,9269,1998
BAHIA,12851268,55984,1998
MINAS GERAIS,17100314,98193,1998
ESPÍRITO SANTO,2895547,17588,1998
RIO DE JANEIRO,13681410,115382,1998
SÃO PAULO,35284072,231556,1998
PARANÁ,9258813,55841,1998
SANTA CATARINA,5028339,27684,1998
RIO GRANDE DO SUL,9866928,69505,1998
MATO GROSSO DO SUL,1995578,11025,1998
MATO GROSSO,2331663,10197,1998
GOIÁS,4744174,23572,1998
DISTRITO FEDERAL,1923406,8406,1998
RONDÔNIA,1296856,5409,1999
ACRE,527937,2122,1999
AMAZONAS,2580860,9535,1999
RORAIMA,266922,1266,1999
PARÁ,5886454,21190,1999
AMAPÁ,439781,1700,1999
TOCANTINS,1134895,4253,1999
MARANHÃO,5418349,14403,1999
PIAUÍ,2734152,8672,1999
CEARÁ ,7106605,34751,1999
RIO GRANDE DO NORTE,2654501,12668,1999
PARAÍBA,3375609,17148,1999
PERNAMBUCO,7580826,51744,1999
ALAGOAS,2713203,14313,1999
SERGIPE,1712786,9420,1999
BAHIA,12993011,58521,1999
MINAS GERAIS,17295955,99503,1999
ESPÍRITO SANTO,2938062,17329,1999
RIO DE JANEIRO,13807358,113497,1999
SÃO PAULO,35816740,236820,1999
PARANÁ,9375592,54801,1999
SANTA CATARINA,5098448,27855,1999
RIO GRANDE DO SUL,9971910,67269,1999
MATO GROSSO DO SUL,2026600,11489,1999
MATO GROSSO,2375549,10776,1999
GOIÁS,4848725,23660,1999
DISTRITO FEDERAL,1969868,8544,1999
RONDÔNIA,1317614,5602,2000
ACRE,541873,2565,2000
AMAZONAS,2641251,10464,2000
RORAIMA,273160,1329,2000
PARÁ,6004854,21542,2000
AMAPÁ,458796,1686,2000
TOCANTINS,1162085,4373,2000
MARANHÃO,5480066,16041,2000
PIAUÍ,2753373,11623,2000
CEARÁ ,7200167,33641,2000
RIO GRANDE DO NORTE,2684712,12858,2000
PARAÍBA,3397673,18268,2000
PERNAMBUCO,7638101,52469,2000
ALAGOAS,2738378,14337,2000
SERGIPE,1740719,9519,2000
BAHIA,13135262,59654,2000
MINAS GERAIS,17492296,96161,2000
ESPÍRITO SANTO,2980729,17632,2000
RIO DE JANEIRO,13933756,111196,2000
SÃO PAULO,36351316,238959,2000
PARANÁ,9492790,56092,2000
SANTA CATARINA,5168808,28431,2000
RIO GRANDE DO SUL,10077267,67953,2000
MATO GROSSO DO SUL,2057734,11078,2000
MATO GROSSO,2419591,11466,2000
GOIÁS,4953650,23175,2000
DISTRITO FEDERAL,2016497,8572,2000
RONDÔNIA,1407886,6015,2001
ACRE,574355,2494,2001
AMAZONAS,2900240,10504,2001
RORAIMA,,1200,2001
PARÁ,6341736,23699,2001
AMAPÁ,498735,1961,2001
TOCANTINS,1184895,4783,2001
MARANHÃO,5730467,19792,2001
PIAUÍ,2873010,12505,2001
CEARÁ ,7547620,35726,2001
RIO GRANDE DO NORTE,2815244,13292,2001
PARAÍBA,3468594,18879,2001
PERNAMBUCO,8008207,51868,2001
ALAGOAS,2856629,15442,2001
SERGIPE,1817301,9727,2001
BAHIA,13214114,61025,2001
MINAS GERAIS,18127096,97981,2001
ESPÍRITO SANTO,3155016,17687,2001
RIO DE JANEIRO,14558545,113816,2001
SÃO PAULO,37630106,235987,2001
PARANÁ,9694709,55073,2001
SANTA CATARINA,5448736,28260,2001
RIO GRANDE DO SUL,10309819,68296,2001
MATO GROSSO DO SUL,2111036,11213,2001
MATO GROSSO,2560584,11572,2001
GOIÁS,5116462,23935,2001
DISTRITO FEDERAL,2097447,8760,2001
RONDÔNIA,1431777,6028,2002
ACRE,586942,2486,2002
AMAZONAS,2961801,10623,2002
RORAIMA,346871,1252,2002
PARÁ,6453683,23139,2002
AMAPÁ,516511,1982,2002
TOCANTINS,1207014,4820,2002
MARANHÃO,5803224,21490,2002
PIAUÍ,2898223,13085,2002
CEARÁ ,7654535,39172,2002
RIO GRANDE DO NORTE,2852784,14176,2002
PARAÍBA,3494893,19704,2002
PERNAMBUCO,8084667,52194,2002
ALAGOAS,2887535,15861,2002
SERGIPE,1846039,9876,2002
BAHIA,13323212,63422,2002
MINAS GERAIS,18343517,97844,2002
ESPÍRITO SANTO,3201722,17618,2002
RIO DE JANEIRO,14724475,117018,2002
SÃO PAULO,38177742,237741,2002
PARANÁ,6453683,56854,2002
SANTA CATARINA,5527707,28776,2002
RIO GRANDE DO SUL,2852784,69357,2002
MATO GROSSO DO SUL,2140624,11421,2002
MATO GROSSO,2604742,12168,2002
GOIÁS,5210335,25634,2002
DISTRITO FEDERAL,2145839,9066,2002
RONDÔNIA,1455907,6319,2003
ACRE,600595,2534,2003
AMAZONAS,3031068,10594,2003
RORAIMA,357302,1351,2003
PARÁ,6574993,25124,2003
AMAPÁ,534835,1895,2003
TOCANTINS,1230181,4970,2003
MARANHÃO,5873655,22524,2003
PIAUÍ,2923725,13883,2003
CEARÁ ,7758441,40972,2003
RIO GRANDE DO NORTE,2888058,13731,2003
PARAÍBA,3518595,19998,2003
PERNAMBUCO,8161862,52912,2003
ALAGOAS,2917664,15245,2003
SERGIPE,1874613,9651,2003
BAHIA,13435612,64103,2003
MINAS GERAIS,18553312,104760,2003
ESPÍRITO SANTO,3250219,18404,2003
RIO DE JANEIRO,14879118,116318,2003
SÃO PAULO,38709320,240253,2003
PARANÁ,9906866,57566,2003
