Codigo,Descricao,Referencias
A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae",NA
A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor",NA
A009,Cólera não especificada,NA
A010,Febre tifóide,NA
A011,Febre paratifóide A,NA
A012,Febre paratifóide B,NA
A013,Febre paratifóide C,NA
A014,Febre paratifóide não especificada,NA
A020,Enterite por salmonela,NA
A021,Septicemia por salmonela,NA
A022,Infecções localizadas por salmonela,NA
A028,Outras infecções especificadas por salmonela,NA
A029,Infecção não especificada por salmonela,NA
A030,Shiguelose devida a Shigella dysenteriae,NA
A031,Shiguelose devida a Shigella flexneri,NA
A032,Shiguelose devida a Shigella boydii,NA
A033,Shiguelose devida a Shigella sonnei,NA
A038,Outras shigueloses,NA
A039,Shiguelose não especificada,NA
A040,Infecção por Escherichia coli enteropatogênica,NA
A041,Infecção por Escherichia coli enterotoxigênica,NA
A042,Infecção por Escherichia coli enteroinvasiva,NA
A043,Infecção por Escherichia coli enterohemorrágica,NA
A044,Outras infecções intestinais por Escherichia coli,NA
A045,Enterite por Campylobacter,NA
A046,Enterite devida a Yersinia enterocolítica,NA
A047,Enterocolite devida a Clostridium difficile,NA
A048,Outras infecções bacterianas intestinais especificadas,NA
A049,Infecção intestinal bacteriana não especificada,NA
A050,Intoxicação alimentar estafilocócica,NA
A051,Botulismo,
A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],
A053,Intoxicação alimentar devida a Vibrio parahemolyticus,
A054,Intoxicação alimentar devida a Bacillus cereus,
A058,Outras intoxicações alimentares bacterianas especificadas,
A059,Intoxicação alimentar bacteriana não especificada,
A060,Disenteria amebiana aguda,
A061,Amebíase intestinal crônica,
A062,Colite amebiana não-disentérica,
A063,Ameboma intestinal,
A064,Abscesso amebiano do fígado,
A065,Abscesso amebiano do pulmão,J99.8*
A066,Abscesso amebiano do cérebro,G07*
A067,Amebíase cutânea,
A068,Infecção amebiana de outras localizações,
A069,Amebíase não especificada,NA
A070,Balantidíase,NA
A071,Giardíase [lamblíase],NA
A072,Criptosporidiose,NA
A073,Isosporíase,NA
A078,Outras doenças intestinais especificadas por protozoários,NA
A079,Doença intestinal não especificada por protozoários,NA
A080,Enterite por rotavírus,NA
A081,Gastroenteropatia aguda pelo agente de Norwalk,NA
A082,Enterite por adenovírus,NA
A083,Outras enterites virais,NA
A084,Infecção intestinal devida a vírus não especificado,NA
A085,Outras infecções intestinais especificadas,NA
A09,Diarréia e gastroenterite de origem infecciosa presumível,NA
A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",NA
A151,"Tuberculose pulmonar, com confirmação somente por cultura",NA
A152,"Tuberculose pulmonar, com confirmação histológica",NA
A153,"Tuberculose pulmonar, com confirmação por meio não especificado",NA
A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",NA
A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",NA
A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",NA
A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",NA
A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",NA
A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",NA
A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos,NA
A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",NA
A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",NA
A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",NA
A164,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica",NA
A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",NA
A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,
A168,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica",
A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",
A170,Meningite tuberculosa,G01*
A171,Tuberculoma meníngeo,G07*
A178,Outras tuberculoses do sistema nervoso,
A179,Tuberculose não especificada do sistema nervoso,G99.8*
A180,Tuberculose óssea e das articulações,
A181,Tuberculose do aparelho geniturinário,
A182,Linfadenopatia tuberculosa periférica,
A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",
A184,Tuberculose de pele e do tecido celular subcutâneo,
A185,Tuberculose do olho,
A186,Tuberculose do ouvido,
A187,Tuberculose das supra-renais,E35.1*
A188,Tuberculose de outros órgãos especificados,NA
A190,Tuberculose miliar aguda de localização única e especificada,NA
A191,Tuberculose miliar aguda de múltiplas localizações,NA
A192,Tuberculose miliar aguda não especificada,NA
A198,Outras tuberculoses miliares,NA
A199,Tuberculose miliar não especificada,NA
A200,Peste bubônica,NA
A201,Peste celulocutânea,NA
A202,Peste pneumônica,NA
A203,Peste meníngea,NA
A207,Peste septicêmica,NA
A208,Outras formas de peste,NA
A209,"Peste, forma não especificada",NA
A210,Tularemia ulceroglandular,NA
A211,Tularemia oculoglandular,NA
A212,Tularemia pulmonar,NA
A213,Tularemia gastrointestinal,NA
A217,Tularemia generalizada,NA
A218,Outras formas de tularemia,NA
A219,"Tularemia, forma não especificada",NA
A220,Carbúnculo cutâneo,NA
A221,Carbúnculo pulmonar,NA
A222,Carbúnculo gastrointestinal,NA
A227,Septicemia carbunculosa,NA
A228,Outras formas de carbúnculo,NA
A229,"Carbúnculo, forma não especificada",NA
A230,Brucelose por Brucella melitensis,NA
A231,Brucelose por Brucella abortus,NA
A232,Brucelose por Brucella suis,NA
A233,Brucelose por Brucella canis,NA
A238,Outras bruceloses,NA
A239,Brucelose não especificada,NA
A240,Mormo,NA
A241,Melioidose aguda e fulminante,NA
A242,Melioidose subaguda e crônica,NA
A243,Outras melioidoses,NA
A244,Melioidose não especificada,NA
A250,Espirilose,NA
A251,Estreptobacilose,NA
A259,"Febre transmitida por mordedura de rato, tipo não especificado",NA
A260,Erisipelóide cutâneo,NA
A267,Septicemia por Erysipelothrix,NA
A268,Outras formas de erisipelóide,NA
