codigo,municipio,uf,ufTabela,populacao
5200050,Abadia de Goiás,Goiás,goiais,8773
3100104,Abadia dos Dourados,Minas Gerais,minasgerais,6989
5200100,Abadiânia,Goiás,goiais,20042
3100203,Abaeté,Minas Gerais,minasgerais,23237
1500107,Abaetetuba,Pará,para,157698
2300101,Abaiara,Ceará,ceara,11737
2900108,Abaíra,Bahia,bahia,8739
2900207,Abaré,Bahia,bahia,20086
4100103,Abatiá,Paraná,parana,7457
4200051,Abdon Batista,Santa Catarina,santacatarina,2563
1500131,Abel Figueiredo,Pará,para,7434
4200101,Abelardo Luz,Santa Catarina,santacatarina,17904
3100302,Abre Campo,Minas Gerais,minasgerais,13454
2600054,Abreu e Lima,Pernambuco,pernambuco,99990
1700251,Abreulândia,Tocantins,tocantins,2579
3100401,Acaiaca,Minas Gerais,minasgerais,3994
2100055,Açailândia,Maranhão,maranhao,112445
2900306,Acajutiba,Bahia,bahia,15159
1500206,Acará,Pará,para,55591
2300150,Acarape,Ceará,ceara,14929
2300200,Acaraú,Ceará,ceara,62641
2400109,Acari,Rio Grande do Norte,riograndedonorte,11136
2200053,Acauã,Piauí,piaui,7084
4300034,Aceguá,Rio Grande do Sul,riograndedosul,4901
2300309,Acopiara,Ceará,ceara,54270
5100102,Acorizal,Mato Grosso,matogrosso,5399
1200013,Acrelândia,Acre,acre,15256
5200134,Acreúna,Goiás,goiais,22366
3100500,Açucena,Minas Gerais,minasgerais,9470
3500105,Adamantina,São Paulo,saopaulo,35068
5200159,Adelândia,Goiás,goiais,2516
3500204,Adolfo,São Paulo,saopaulo,3562
4100202,Adrianópolis,Paraná,parana,5919
2900355,Adustina,Bahia,bahia,17040
2600104,Afogados da Ingazeira,Pernambuco,pernambuco,37259
2400307,Afonso Bezerra,Rio Grande do Norte,riograndedonorte,11035
3200102,Afonso Cláudio,Espírito Santo,espiritosanto,30586
2100105,Afonso Cunha,Maranhão,maranhao,6524
2600203,Afrânio,Pernambuco,pernambuco,19635
1500305,Afuá,Pará,para,39218
2600302,Agrestina,Pernambuco,pernambuco,24885
2200103,Agricolândia,Piauí,piaui,5139
4200200,Agrolândia,Santa Catarina,santacatarina,10864
4200309,Agronômica,Santa Catarina,santacatarina,5448
1500347,Água Azul do Norte,Pará,para,27430
5100201,Água Boa,Mato Grosso,matogrosso,25721
3100609,Água Boa,Minas Gerais,minasgerais,13735
2700102,Água Branca,Alagoas,alagoas,20196
2200202,Água Branca,Piauí,piaui,17411
2500106,Água Branca,Paraíba,paraiba,10234
5000203,Água Clara,Mato Grosso do Sul,matogrossodosul,15522
3100708,Água Comprida,Minas Gerais,minasgerais,1999
4200408,Água Doce,Santa Catarina,santacatarina,7145
2100154,Água Doce do Maranhão,Maranhão,maranhao,12571
3200169,Água Doce do Norte,Espírito Santo,espiritosanto,11019
2900405,Água Fria,Bahia,bahia,16970
5200175,Água Fria de Goiás,Goiás,goiais,5735
5200209,Água Limpa,Goiás,goiais,1850
